PUMFID,PROVR,CH_AGE,PMK3_05R,ARR_05,ARR_20AR,ARR_20BR,ARR_20CR,ARR_20DR,ARR_20GR,ARR_20HR,ARR_20IR,NUMCARER,ARRT20AR,ARRT20BR,ARRT20CR,ARRT20DR,ARRT20GR,ARRT20HR,MAINR,ARR_45,ARR_70AR,ARR_70BR,ARR_70CR,ARR_70DR,ARR_70GR,ARR_70HR,ARR_75AR,ARR_75BR,ARR_75CR,ARR_75DR,ARR_75GR,ARR_75HR,ARR_80,ARR_85R,ARR_90,ARR_95AR,ARR_95BR,ARR_95CR,ARR_95DR,ARR_95ER,ARR_95HR,ARR_95JR,ARR_95KR,ARR_95LR,ARR_95MR,ARR100R,ARR_105,ARR110AR,ARR110BR,ARR110CR,ARR110DR,ARR110ER,ARR110FR,ARR110HR,ARR110KR,ARR_115A,ARR_115B,ARR_115C,ARR_115D,ARR_115E,ARR_115F,ARR_115G,ARR_115H,ARR_115I,ARR_115J,ARR_115K,ARR_120,ARR125R,ARR130AR,ARR130BR,ARR130CR,ARR130DR,ARR130ER,ARR130HR,ARR130IR,ARR130KR,ARR130LR,ARR135BR,ARR135CR,ARR135DR,ARR135ER,ARR135FR,ARR135GR,ARR135JR,ARR135KR,ARR135MR,ARR_140R,HHINCR,EDUGRP,IIDFLAG,USE_CARE,COSTG_AR,COSTG_BR,COSTG_CR,COSTG_DR,COSTG_GR,COSTG_HR,ALLCOSTG,WTPP,VERDATE
5453,24,1,2,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,2,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,1,1,1,3,2,2,6,6,6,6,6,6,6,676.036,29/03/2023
5454,35,9,1,1,2,2,2,2,1,2,2,1,6,6,6,6,3,6,5,3,6,6,6,6,4,6,6,6,6,6,2,6,1,1,2,2,2,2,1,2,1,2,2,1,2,1,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,9,3,2,1,6,6,6,6,2,6,2,1133.4778,29/03/2023
5455,10,2,2,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,1,2,2,1,2,2,2,2,6,6,6,6,6,6,6,105.6457,29/03/2023
5456,24,1,2,1,1,2,2,2,2,2,2,1,2,6,6,6,6,6,1,1,3,6,6,6,6,6,2,6,6,6,6,6,2,6,6,1,1,1,2,2,2,2,1,1,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,3,2,2,1,1,6,6,6,6,6,1,645.1533,29/03/2023
5458,48,1,2,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,2,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,1,2,2,2,2,2,2,1,2,2,2,2,6,6,6,6,6,6,6,529.015,29/03/2023
5459,10,1,2,1,2,2,1,1,2,2,2,2,6,6,2,2,6,6,3,1,6,6,1,4,6,6,6,6,2,2,6,6,1,1,2,1,2,1,2,2,2,2,2,2,2,1,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,3,2,2,2,2,2,2,1,2,2,6,6,6,6,6,6,6,6,6,1,3,2,1,1,6,6,1,1,6,6,1,69.4588,29/03/2023
5460,59,2,1,1,2,1,2,2,2,2,2,1,6,3,6,6,6,6,2,2,6,5,6,6,6,6,6,2,6,6,6,6,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,1,2,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2,1,2,1,1,2,2,1,6,6,6,6,6,6,6,6,6,1,2,1,2,1,6,2,6,6,6,6,2,612.7242,29/03/2023
5461,24,1,1,1,1,2,2,2,2,2,2,1,3,6,6,6,6,6,1,1,5,6,6,6,6,6,2,6,6,6,6,6,1,1,2,1,1,1,2,1,1,1,2,1,2,1,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,2,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,1,2,2,2,1,1,6,6,6,6,6,1,742.2649,29/03/2023
5462,10,1,2,1,2,1,2,2,2,2,2,1,6,2,6,6,6,6,2,3,6,5,6,6,6,6,6,2,6,6,6,6,1,1,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,3,2,2,1,6,2,6,6,6,6,2,77.039,29/03/2023
5463,59,1,2,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,2,6,6,6,6,6,6,6,6,6,6,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,96,6,6,6,6,6,6,6,6,6,2,2,1,1,2,2,1,1,2,1,3,3,2,2,6,6,6,6,6,6,6,467.1728,29/03/2023
5464,35,2,1,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,1,2,1,1,3,3,2,2,6,6,6,6,6,6,6,1112.6901,29/03/2023
5465,35,2,1,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,2,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,2,1,2,1,2,2,1,1,1,2,2,2,6,6,6,6,6,6,6,1308.6213,29/03/2023
5466,12,2,1,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,1,2,2,4,1,1,2,2,6,6,6,6,6,6,6,118.342,29/03/2023
5467,24,2,1,1,1,2,2,2,2,2,2,1,2,6,6,6,6,6,1,1,5,6,6,6,6,6,1,6,6,6,6,6,2,6,6,2,1,1,1,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,1,2,2,1,9,6,6,6,6,6,9,689.6107,29/03/2023
5469,35,1,1,1,2,2,2,1,2,2,2,1,6,6,6,2,6,6,4,2,6,6,6,5,6,6,6,6,6,2,6,6,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,3,3,2,1,6,6,6,1,6,6,1,931.5946,29/03/2023
5471,35,2,9,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,1,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,1,3,3,1,2,2,6,6,6,6,6,6,6,1049.8541,29/03/2023
5472,24,2,1,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,1,4,2,1,2,2,6,6,6,6,6,6,6,809.7809,29/03/2023
5474,35,2,1,1,1,2,2,2,2,2,2,1,3,6,6,6,6,6,1,1,5,6,6,6,6,6,2,6,6,6,6,6,1,1,1,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,1,1,2,1,1,1,1,1,2,1,2,2,2,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,1,2,2,1,2,6,6,6,6,6,2,1112.6901,29/03/2023
5475,59,1,2,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,1,6,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,6,6,6,6,6,6,6,532.9156,29/03/2023
5476,24,1,1,1,2,2,2,2,2,1,2,1,6,6,6,6,6,2,6,2,6,6,6,6,6,3,6,6,6,6,6,2,2,6,6,2,2,2,2,2,2,2,2,1,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,2,2,2,2,2,2,2,1,2,6,6,6,6,6,6,6,6,6,4,1,2,2,1,6,6,6,6,6,1,1,645.1533,29/03/2023
5477,24,2,1,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,2,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,1,1,2,2,2,2,6,6,6,6,6,6,6,809.7809,29/03/2023
5478,35,2,2,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,2,6,6,6,6,6,6,6,6,6,6,2,1,1,1,2,1,2,2,2,2,1,1,2,2,1,2,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,3,3,2,2,6,6,6,6,6,6,6,960.3254,29/03/2023
5479,10,1,1,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,1,4,2,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,1,2,2,9,9,1,2,2,6,6,6,6,6,6,6,69.4588,29/03/2023
5480,35,9,1,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,1,2,2,2,2,2,2,1,9,3,2,2,6,6,6,6,6,6,6,1086.6141,29/03/2023
5481,11,1,1,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,6,6,6,6,6,6,6,29.9996,29/03/2023
5482,24,2,1,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,2,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,1,1,2,2,2,2,6,6,6,6,6,6,6,781.9189,29/03/2023
5483,35,1,2,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,2,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,2,1,2,2,2,2,2,1,2,3,2,2,6,6,6,6,6,6,6,908.8327,29/03/2023
5484,12,2,1,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,1,2,2,4,1,3,2,2,6,6,6,6,6,6,6,132.0707,29/03/2023
5485,59,1,1,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,2,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,1,2,2,2,2,2,2,1,2,2,2,2,6,6,6,6,6,6,6,671.5674,29/03/2023
5486,35,1,1,1,2,2,2,2,1,2,2,1,6,6,6,6,2,6,5,2,6,6,6,6,5,6,6,6,6,6,2,6,1,1,2,1,2,2,1,2,2,2,2,1,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,3,3,2,1,6,6,6,6,2,6,2,931.5946,29/03/2023
5487,35,1,1,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,2,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,1,2,2,2,1,2,2,3,2,1,2,2,6,6,6,6,6,6,6,1028.7052,29/03/2023
5488,11,1,1,1,2,2,2,1,2,2,2,1,6,6,6,2,6,6,4,2,6,6,6,4,6,6,6,6,6,2,6,6,2,6,6,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,2,2,1,6,6,6,1,6,6,1,29.9996,29/03/2023
5490,35,2,2,1,1,2,2,2,2,2,2,1,3,6,6,6,6,6,1,1,5,6,6,6,6,6,2,6,6,6,6,6,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,2,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,1,3,2,2,1,3,6,6,6,6,6,3,892.1649,29/03/2023
5491,48,1,1,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,1,2,1,3,1,2,1,2,6,6,6,6,6,6,6,561.3734,29/03/2023
5492,35,1,1,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,1,2,2,2,2,2,2,1,9,3,2,2,6,6,6,6,6,6,6,908.8327,29/03/2023
5493,35,1,1,1,1,2,2,2,2,2,2,1,2,6,6,6,6,6,1,1,5,6,6,6,6,6,2,6,6,6,6,6,1,1,2,1,2,1,2,2,2,2,2,1,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,1,1,2,1,2,2,2,2,1,6,6,6,6,6,6,6,6,6,1,2,3,2,1,2,6,6,6,6,6,2,744.9265,29/03/2023
5494,12,2,1,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,2,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,1,1,3,3,2,2,6,6,6,6,6,6,6,153.868,29/03/2023
5495,35,2,2,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,2,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,1,2,2,3,2,3,2,2,6,6,6,6,6,6,6,960.3254,29/03/2023
5496,48,1,1,1,2,2,1,2,2,2,2,1,6,6,3,6,6,6,3,1,6,6,5,6,6,6,6,6,2,6,6,6,1,1,2,1,2,1,1,1,1,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,2,2,1,6,6,2,6,6,6,2,529.015,29/03/2023
5497,11,1,1,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,1,2,2,2,2,1,2,2,6,6,6,6,6,6,6,27.3294,29/03/2023
5498,35,2,1,1,2,2,2,1,2,2,2,1,6,6,6,4,6,6,4,2,6,6,6,5,6,6,6,6,6,1,6,6,2,6,6,1,1,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,1,1,2,2,1,6,6,6,9,6,6,9,960.3254,29/03/2023
5500,47,2,1,1,2,2,2,1,2,2,2,1,6,6,6,2,6,6,4,2,6,6,6,1,6,6,6,6,6,2,6,6,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,1,1,2,2,2,1,2,2,1,1,2,2,2,2,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,2,2,1,6,6,6,1,6,6,1,249.0939,29/03/2023
5501,24,1,2,1,1,2,2,2,2,2,2,1,2,6,6,6,6,6,1,1,5,6,6,6,6,6,2,6,6,6,6,6,1,1,2,1,1,1,2,2,2,2,2,1,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,3,2,1,1,6,6,6,6,6,1,742.2649,29/03/2023
5502,48,1,1,1,2,2,1,2,2,2,2,1,6,6,3,6,6,6,3,1,6,6,5,6,6,6,6,6,2,6,6,6,1,1,1,2,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,9,3,2,1,6,6,2,6,6,6,2,561.3734,29/03/2023
5503,13,2,2,1,2,2,1,2,2,2,2,1,6,6,3,6,6,6,3,1,6,6,4,6,6,6,6,6,2,6,6,6,2,6,6,1,2,1,1,2,2,2,2,1,2,2,1,1,1,2,2,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,2,1,6,6,2,6,6,6,2,109.9361,29/03/2023
5504,13,1,9,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,1,1,2,2,2,2,2,4,1,2,2,2,6,6,6,6,6,6,6,104.3205,29/03/2023
5505,24,1,2,1,1,2,2,2,2,2,2,1,3,6,6,6,6,6,1,1,5,6,6,6,6,6,2,6,6,6,6,6,2,6,6,1,2,1,1,1,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,2,3,2,1,2,6,6,6,6,6,2,801.19,29/03/2023
5506,12,2,1,1,2,2,2,1,2,2,2,1,6,6,6,3,6,6,4,2,6,6,6,9,6,6,6,6,6,1,6,6,1,1,2,1,1,2,1,2,2,2,2,1,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,3,3,2,1,6,6,6,1,6,6,1,153.868,29/03/2023
5507,13,9,2,1,2,2,1,2,2,2,2,1,6,6,3,6,6,6,3,1,6,6,5,6,6,6,6,6,2,6,6,6,2,6,6,2,1,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,2,2,1,1,2,2,2,2,2,2,2,1,2,6,6,6,6,6,6,6,6,6,1,2,1,2,1,6,6,2,6,6,6,2,104.3205,29/03/2023
5508,59,9,1,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,2,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,1,1,9,2,2,2,6,6,6,6,6,6,6,532.9156,29/03/2023
5509,46,1,1,1,1,2,2,2,2,2,2,1,2,6,6,6,6,6,1,1,5,6,6,6,6,6,2,6,6,6,6,6,2,6,6,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,2,2,1,1,2,2,2,1,1,1,2,1,1,2,2,2,1,2,2,2,2,2,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,6,6,6,6,6,1,266.5493,29/03/2023
5510,11,1,2,1,1,2,2,2,1,2,2,2,1,6,6,6,9,6,1,3,2,6,6,6,5,6,2,6,6,6,1,6,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,1,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,1,1,1,2,1,9,6,6,6,9,6,9,29.751,29/03/2023
5511,59,1,1,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,1,2,2,2,2,2,1,3,2,2,2,2,6,6,6,6,6,6,6,532.9156,29/03/2023
5512,59,1,1,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,5,2,2,2,2,2,1,2,2,1,2,2,1,2,1,2,2,1,2,4,2,2,2,2,6,6,6,6,6,6,6,512.3572,29/03/2023
5513,13,1,2,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,1,2,1,4,1,3,2,2,6,6,6,6,6,6,6,106.209,29/03/2023
5514,46,1,2,1,2,2,2,1,2,2,2,1,6,6,6,1,6,6,4,2,6,6,6,1,6,6,6,6,6,1,6,6,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,1,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,1,2,3,2,1,6,6,6,1,6,6,1,272.142,29/03/2023
5515,13,2,1,1,1,2,2,2,2,2,2,1,2,6,6,6,6,6,1,1,5,6,6,6,6,6,2,6,6,6,6,6,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,3,3,2,1,1,6,6,6,6,6,1,129.2179,29/03/2023
5516,11,1,1,1,2,2,2,1,2,2,2,1,6,6,6,2,6,6,4,2,6,6,6,9,6,6,6,6,6,1,6,6,1,2,2,1,1,1,1,2,2,2,2,1,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,2,2,1,6,6,6,1,6,6,1,29.7636,29/03/2023
5517,35,1,1,1,1,2,2,2,2,2,2,1,2,6,6,6,6,6,1,1,5,6,6,6,6,6,2,6,6,6,6,6,1,2,2,1,1,1,1,1,2,2,2,1,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,3,3,2,1,2,6,6,6,6,6,2,1133.4778,29/03/2023
5518,48,1,1,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,1,2,2,2,2,2,2,1,9,2,2,2,6,6,6,6,6,6,6,462.471,29/03/2023
5519,35,2,1,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,2,6,6,6,6,6,6,6,6,6,6,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,96,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,1,2,2,1,9,1,2,2,6,6,6,6,6,6,6,1049.8541,29/03/2023
5520,13,2,1,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,2,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,1,2,2,2,2,2,2,1,2,3,2,2,6,6,6,6,6,6,6,129.2179,29/03/2023
